UNICODE,Dia,Mes,Anio,capt_upch,ex_upch,pos_upch
1.10.36.109,7,2,11,3,2,0
1.10.36.119,9,2,11,193,140,0
1.10.36.120,10,2,11,7,7,0
1.10.36.122,10,2,11,114,102,0
1.10.36.124,11,2,11,15,9,0
1.10.36.125,11,2,11,62,62,0
1.10.36.127,12,2,11,5,5,0
1.10.36.130,15,2,11,13,13,0
1.10.36.134,16,2,11,2,2,0
1.10.36.135,15,2,11,75,59,0
1.10.36.137,16,2,11,4,4,0
1.10.36.139,16,2,11,1,1,0
1.10.36.142,9,2,11,3,3,0
1.10.36.254,22,2,11,2,2,0
1.10.36.255,23,2,11,136,116,0
1.10.36.256,23,2,11,2,2,0
1.10.36.258,24,2,11,48,44,0
1.10.36.268,23,2,11,2,2,0
1.10.36.363,1,3,11,1,1,0
1.10.36.405,4,3,11,2,2,0
1.10.36.406,1.375,3,11,269,89,0
1.10.36.463,9,3,11,24,22,3
1.10.36.464,11,3,11,10,10,1
1.10.36.466,14,3,11,2,1,0
1.10.36.468,11,3,11,1,1,0
1.10.36.481,10,3,11,88,73,0
1.10.36.482,11,3,11,9,9,0
1.10.36.483,14,3,11,54,44,0
1.10.36.494,21.2,2.2,11,19,9,0
1.10.36.508,22,2,11,27,27,0
1.10.36.519,17,3,11,23,20,0
1.10.36.521,18,2,11,3,3,0
1.10.36.522,16,2,11,36,26,0
1.10.36.523,14,2,11,11,10,0
1.10.36.525,18,3,11,48,48,0
1.10.36.89,8,2,11,2,2,0
1.10.36.90,9,2,11,976,644,0
1.10.36.91,9,2,11,84,53,0
1.10.36.92,10,2,11,98,80,0
1.10.36.98,7,2,11,3,2,0
